path,image_id,iou_max,<- RGB,,path,image_id,iou_max,<-thermal
[],172,0.571360115,,,[],172,0.677328316,
[],172,0.514036182,,,[],172,0.685205784,
[],172,0.62601626,,,[],172,0.543378995,
[],172,0.519575315,,,[],172,0.541723666,
[],172,0.004805516,,,[],172,0.00442623,
[],172,0.205298013,,,[],172,0.229508197,
[],172,0.644266273,,,[],172,0.975903614,
[],173,0.474606916,,,[],173,0.49295082,
[],173,0.243260815,,,[],173,0.20557377,
[],173,0.852265048,,,[],173,0.855493428,
[],173,0.753518972,,,[],173,0.908708456,
[],173,0.623555311,,,[],173,0.886330935,
[],173,0.871408119,,,[],173,0.990797546,
[],173,0.52015146,,,[],173,0.45215699,
[],173,0.006621947,,,[],173,0.006102988,
[],173,0.522979398,,,[],173,0.480916031,
[],173,0.187823319,,,[],173,0.223404255,
[],173,0.472849151,,,[],173,0.902372618,
[],174,0.685688743,,,[],174,0.703517588,
[],174,0.803246505,,,[],174,0.8256,
[],174,0.732100883,,,[],174,0.839328537,
[],174,0.591973244,,,[],174,0.863470134,
[],174,0.557822685,,,[],174,0.899618806,
[],174,0.866037561,,,[],174,0.955909549,
[],174,0.799734308,,,[],174,0.237076649,
[],174,0.575599583,,,[],174,0.517906336,
[],174,0.638941399,,,[],174,0.880503145,
[],174,0.726844106,,,[],174,0.796847636,
[],174,0.667016531,,,[],174,0.886956522,
[],174,0,,,[],174,0,
[],174,0,,,[],174,0,
[],175,0.803901105,,,[],175,0.955844156,
[],175,0.833921782,,,[],175,0.948120534,
[],175,0.56954219,,,[],175,0.739837398,
[],175,0.684006491,,,[],175,0.816891658,
[],175,0.646113734,,,[],175,0.753631285,
[],175,0.719886364,,,[],175,0.833721834,
[],175,0.7052191,,,[],175,0.912162162,
[],175,0.822254598,,,[],175,1,
[],175,0.498249228,,,[],175,0.763636364,
[],175,0.862472214,,,[],175,0.923545332,
[],175,0.551641791,,,[],175,0.857142857,
[],176,0.88573854,,,[],176,0.956896552,
[],176,0.854441536,,,[],176,0.39068711,
[],176,0.705724508,,,[],176,0.781703691,
[],176,0.874281877,,,[],176,0.816016219,
[],176,0.762616822,,,[],176,0.787019044,
[],176,0.600766794,,,[],176,0.858026701,
[],176,0.714243931,,,[],176,0.655898189,
[],176,0.742819149,,,[],176,0.68852459,
[],176,0.884109338,,,[],176,0.880365866,
[],176,0.575101778,,,[],176,0.884422111,
[],176,0.531542056,,,[],176,0.773809524,
[],176,0.408020924,,,[],176,0.209302326,
[],176,0.709708644,,,[],176,0.08676307,
[],177,0.830824804,,,[],177,0.967631379,
[],177,0.784931873,,,[],177,0.873245488,
[],177,0.641627771,,,[],177,0.805507745,
[],177,0.638447571,,,[],177,0.74659182,
[],177,0.779274512,,,[],177,0.887423935,
[],177,0.850688773,,,[],177,0.816866474,
[],177,0.819096601,,,[],177,0.774193548,
[],177,0.718869732,,,[],177,0.766423358,
[],177,0.554475555,,,[],177,0.835538752,
[],177,0.535018051,,,[],177,0.606060606,
[],177,0,,,[],177,0,
[],177,0.541973039,,,[],177,0.808695652,
[],177,0.427769986,,,[],177,0.601092896,
[],177,0.765616337,,,[],177,0.765591398,
[],178,0.838593839,,,[],178,0.929434767,
[],178,0.780624155,,,[],178,0.970886076,
[],178,0.764755806,,,[],178,0.74974359,
[],178,0.7037096,,,[],178,0.808787632,
[],178,0.684280382,,,[],178,0.688172043,
[],178,0.729510516,,,[],178,0.800495663,
[],178,0.558053207,,,[],178,0.703736921,
[],178,0.771275531,,,[],178,0.882134915,
[],178,0.684069612,,,[],178,0.626257279,
[],178,0.615746386,,,[],178,0.854030501,
[],178,0.525745257,,,[],178,0.633590891,
[],178,0.486533865,,,[],178,0.895927602,
[],179,0.900579185,,,[],179,0.877470356,
[],179,0.813318544,,,[],179,0.800808898,
[],179,0.687731632,,,[],179,0.806806807,
[],179,0.430586576,,,[],179,0.55202952,
[],179,0.825334957,,,[],179,0.722635135,
[],179,0.663767895,,,[],179,0.657534247,
[],179,0.718197761,,,[],179,0.824355972,
[],179,0.550623441,,,[],179,0.770093458,
[],179,0.596804549,,,[],179,0.767824497,
[],179,0.716253444,,,[],179,0.87354942,
[],179,0.687731632,,,[],179,0.806806807,
[],180,0.469462473,,,[],180,0.392280702,
[],180,0.491085295,,,[],180,0.686299616,
[],180,0.695045359,,,[],180,0.786144578,
[],180,0.715980461,,,[],180,0.57544757,
[],180,0.713203605,,,[],180,0.911952779,
[],180,0.356024892,,,[],180,0.340337378,
[],180,0.73805516,,,[],180,0.841087613,
[],180,0.669624607,,,[],180,0.890285714,
[],180,0.593010942,,,[],180,0.583941606,
[],180,0.63353534,,,[],180,0.981132075,
[],180,0.665724907,,,[],180,0.856216216,
[],180,0.707350311,,,[],180,0.941188258,
[],180,0.312193126,,,[],180,0.943703704,
[],180,0.33007335,,,[],180,0,
[],180,0.108643168,,,[],180,0,
[],180,0.117987152,,,[],180,0,
[],181,0.797396215,,,[],181,0.684585848,
[],181,0.213333333,,,[],181,0.079528158,
[],181,0.668502636,,,[],181,0.808224299,
[],181,0.783239323,,,[],181,0.834097159,
[],181,0.853403374,,,[],181,0.693415051,
[],181,0.865391459,,,[],181,0.721972691,
[],181,0.597062076,,,[],181,0.841051314,
[],181,0.753711999,,,[],181,0.812124762,
[],181,0.561879195,,,[],181,0.354609929,
[],181,0.459534311,,,[],181,0,
[],181,0.148723085,,,[],181,0,
[],181,0,,,[],181,0,
[],182,0.249527865,,,[],182,0.636887608,
[],182,0.654032964,,,[],182,0.861591356,
[],182,0.742095221,,,[],182,0.818827631,
[],182,0.695627158,,,[],182,0,
[],182,0.54,,,[],182,0,
[],182,0.416268894,,,[],182,0.126391294,
[],182,0.612903226,,,[],182,0,
[],182,0.410548776,,,[],182,0.012492564,
[],182,0.299451153,,,[],182,0,
[],183,0.882857143,,,[],183,0.608052588,
[],183,0.807428135,,,[],183,0.915098468,
[],183,0.322368421,,,[],183,0,
[],183,0.302053361,,,[],183,0,
[],184,0.765897034,,,[],184,0.912792931,
[],184,0.42165176,,,[],184,0.072834646,
[],184,0.559517203,,,[],184,0.892241379,
[],184,0.541732283,,,[],184,0.694782609,
[],184,0.697891751,,,[],184,0.908680947,
[],184,0.43493389,,,[],184,0.773684211,
[],184,0.039080992,,,[],184,0.112600536,
[],184,0.427137207,,,[],184,0.624849216,
[],184,0.163717694,,,[],184,0.069134948,
